소유자,소유자id,소유자type,데이터,값,파일,생성기관,행동,날짜,기타정보,행위자,행위자id,행위자type,시작기간,종료기간,가격,동의여부
구민성,950124-1150147,개인,여권,,passport2.pdf,행정안전부,제공,20150405,,네이버,451-84-65752,기관,20170506,20200504,250000,Yes
구민성,950124-1150147,개인,직장,우리은행,,우리은행,제공,20200401,,보건복지부,154-65-78612,기관,20200805,20251130,240000,No
김예림,890105-2104547,개인,전입일,20090504,,행정안전부,생성,20101105,,,,,,,,
김예림,890105-2104547,개인,연봉,1억 3천만원,,카카오,생성,20131012,,,,,,,,
김예림,890105-2104547,개인,신용 등급,4등급,,기업은행,생성,20101025,,,,,,,,
김예림,890105-2104547,개인,전입일,20090504,,행정안전부,제공,20110504,,,,,,,,
김예림,890105-2104547,개인,연봉,1억 3천만원,,카카오,제공,20120408,,,,,,,,
김예림,890105-2104547,개인,신용 등급,4등급,,기업은행,가공,20130507,암호화,,,,,,,
김예림,890105-2104547,개인,전입일,20090504,,행정안전부,가공,20150406,익명화,,,,,,,
김예림,890105-2104547,개인,연봉,1억 3천만원,,카카오,가공,20121204,암호화,,,,,,,
오진우,900804-1354179,개인,전입일,20110408,,행정안전부,생성,20130524,,,,,,,,
오진우,900804-1354179,개인,연봉,8천만원,,인터파크,생성,20190504,,,,,,,,
오진우,900804-1354179,개인,신용 등급,7등급,,기업은행,생성,20200405,,,,,,,,
오진우,900804-1354179,개인,전입일,20110408,,행정안전부,제공,20100708,,온누리약국,210-42-51345,기관,20020401,20100405,300000,No
오진우,900804-1354179,개인,연봉,8천만원,,인터파크,제공,20150405,,보건복지부,154-65-78612,기관,20120406,20200504,212000,Yes
오진우,900804-1354179,개인,신용 등급,7등급,,기업은행,가공,20110504,암호화,,,,,,,
오진우,900804-1354179,개인,구매액,,list2.pdf,쿠팡,생성,20110507,,,,,,,,
한민지,900405-132454,개인,학점,4.2,,고려대학교,생성,20120408,,,,,,,,
한민지,900405-132454,개인,수도사용량,,record3.pdf,서울도시가스,생성,20120408,,,,,,,,
한민지,900405-132455,개인,범죄기록,,record4.pdf,검찰청,생성,20130507,,,,,,,,
한민지,900405-132456,개인,학점,4.2,,고려대학교,가공,20150406,익명화,,,,,,,
한민지,900405-132457,개인,수도사용량,,record3.pdf,서울도시가스,가공,20150407,암호화,,,,,,,
한민지,900405-132458,개인,범죄기록,,record4.pdf,검찰청,제공,20150408,,온누리약국,210-42-51345,기관,20140507,20160807,450000,Yes
한민지,900405-132459,개인,출입기록,,record5.pdf,행정안전부,생성,20181004,,,,,,,,
이시윤,910507-110543,개인,수도사용량,,record6.pdf,서울도시가스,생성,20100708,,,,,,,,
이시윤,910507-110543,개인,범죄기록,,record7.pdf,검찰청,생성,20150405,,,,,,,,
이시윤,910507-110543,개인,학점,3.75,,상명대학교,생성,20110504,,,,,,,,
이시윤,910507-110543,개인,수도사용량,,record6.pdf,서울도시가스,제공,20110507,,교육부,954-67-75315,기관,20150406,20200504,42000,Yes
이시윤,910507-110543,개인,범죄기록,,record7.pdf,검찰청,제공,20110508,,인터파크,140-12-45632,기관,20150408,20200709,150000,No
이시윤,910507-110543,개인,학점,3.75,,상명대학교,제공,20110509,,참사랑치과,795-13-55721,기관,20160507,20201104,16000,No
이시윤,910507-110543,개인,수도사용량,,record6.pdf,서울도시가스,가공,20110510,익명화,,,,,,,
이시윤,910507-110543,개인,범죄기록,,record7.pdf,검찰청,가공,20110511,암호화,,,,,,,
